count hate_speech offensive_language neither class tweet
3 0 0 3 2 " As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out"
3 0 3 0 1 " boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place"
3 0 3 0 1 " Dawg RT You ever fuck a bitch and she start to cry You be confused as shit"
3 0 2 1 1 " she look like a tranny"
6 0 6 0 1 " The shit you hear about me might be true or it might be faker than the bitch who told it to ya "
3 1 2 0 1 " The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes "
3 0 3 0 1 " I can not just sit up and HATE on another bitch I got too much shit going on"
3 0 3 0 1 " cause Im tired of you big bitches coming for us skinny girls8221"
3 0 3 0 1 " amp you might not get ya bitch back amp thats that "
3 1 2 0 1 " hobbies include fighting Mariam bitch"
3 0 3 0 1 " Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh"
3 0 3 0 1 " Murda Gang bitch its Gang Land "
3 0 2 1 1 " So hoes that smoke are losers yea go on IG"
3 0 3 0 1 " bad bitches is the only thing that i like "
3 1 2 0 1 " bitch get up off me "
3 0 3 0 1 " bitch nigga miss me with it "
3 0 3 0 1 " bitch plz whatever "
3 1 2 0 1 " bitch who do you love "
3 0 3 0 1 " bitches get cut off everyday B "
3 0 3 0 1 " black bottle amp a bad bitch "
3 0 3 0 1 " broke bitch cant tell me nothing "
3 0 3 0 1 " cancel that bitch like Nino "
3 0 3 0 1 " cant you see these hoes wont change "
3 0 3 0 1 " fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up"
3 0 3 0 1 " got ya bitch tip toeing on my hardwood floors httptcocOU2WQ5L4q"
3 0 2 1 1 " her pussy lips like Heaven doors "
3 0 3 0 1 " hoe what its hitting for "
3 0 3 0 1 " i met that pussy on Ocean Dr i gave that pussy a pill "
3 0 3 0 1 " i need a trippy bitch who fuck on Hennessy "
3 0 3 0 1 " i spend my money how i want bitch its my business "
3 0 3 0 1 " i txt my old bitch my new bitch pussy wetter "
3 0 3 0 1 " id say im back to the old me but my old bitches would get excited "
3 0 3 0 1 " if you aint bout that Murder Game pussy nigga shut up "
3 0 3 0 1 " if youre toes aint done you pussy stinks "
3 0 3 0 1 " im done with bitter bitches its a wrap for that if you a angry bird theres a app for that "
3 0 3 0 1 " is that ya bitch "
3 0 3 0 1 " it aint nothing to cut a bitch off "
3 0 3 0 1 " jus meet son now he ya mane ass bitches Shots"
3 0 2 1 1 " lames crying over hoes thats tears of a clown "
3 0 3 0 1 " like Snoop said in we dont love these hoes "
3 0 1 2 2 " momma said no pussy cats inside my doghouse "
3 0 3 0 1 " most hated but the hoes favorite 2MW SevenOne httptcoBMdSVMc3rC"
3 0 3 0 1 " nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick httptcobzRDl3kF7U"
