 text class_label
1 "Alex Brosas another idiot #ALDUBKSGoesToUS  https://t.co/14G7hFwVQm" abusive
2 "RT @ItIzBiz: as Nancy Reagan would say, 'just say FUCKING NO!""
or something like that... https://t.co/ZaxB2gCq5v" abusive
4 "RT @MailOnline: The Nazi death gas so horrific even Hitler feared using it https://t.co/pO2FiPVcnc" normal
5 "I hate er chase because if the Bitch that works there she's literally evil" hateful
16 "But he still with the shits so he started smoking and drinking (bad combo) probably looking like ... https://t.co/GWLVBxkGgh" abusive
17 "RT @Configa: April Fools fucking #dope If you ain't feeling this than you have rigor mortis, dummy!! #hiphop #boombap #goldenera… https://t…" abusive
20 "Not having access to my money is fucking pissing me off!!!!" abusive
21 "Niggas keep talking about women wearing weave but be sick when a bitch up a fro on they ass. 😭" hateful
22 """God, you're fucking pathetic."" https://t.co/ugvCc03GzC" abusive
26 "You Worried About Somebody Bein Ugly... Bitch You Ugly..." abusive
27 "Carlos Correa had gyalchester as his walkup music and it was so bad ass 😂" normal
30 "Damn dean just put Corbin to sleep. That Match Also Showed why It Was On Pre show. Boring as fuck" abusive
31 """THE FORCE AWAKENS: A Bad Lip Reading"" (Featuring Mark Hamill as Han Solo) https://t.co/hWWWMPP03c" normal
32 "I hate a ol I forgot my Wallet at home but I have my ID ass bitch!!!" abusive
36 "RT @dawseyslinstead: i just want to cry so fucking bad look at them https://t.co/FaxDU5fI3m" abusive
43 "RT @antoniodelotero: 2. i'm a bad bitch you can't kill me https://t.co/mI0xmuNbfM" abusive
48 "This is one ass extended April fools I pray someone just says it's a bad joke" abusive
51 "@Pineaqples @DenialEsports btw I watched where you watched my pov on stream and boii do I feel retarded" normal
54 "RT @Kimberley1222: Disgusting. Insulting. Parks are NOT a charity. Give them a fucking budget, asshole.  @realDonaldTrump

#TheResistance
#…" abusive
57 "@NikkisBubble Every bird turd is talking ""Children of God"" or Our bros. &amp; Sisters"" to push evil policy
Russia got f… https://t.co/JTezgp7FrU" normal
58 "RT @gogglepossum: Don't you hate people that put salt on their bag of dicks before even trying them?" abusive
59 "Niggas don't lie, our ugly friend put up a pic we just gon write ""nigga u ugly"" under it" abusive
62 "Don't sleep with me? Then don't speak with me. And never talk bad bout niggas that eat with me" abusive
64 "Grassley is a damn liar &amp; saying everything for the stupid #MAGA Supporters. Repubs #gaslight all gullible… https://t.co/6QyPPz5x8R" abusive
66 "Person telling me, it's me, the sugar in your Tea, are u actually fucking mad !!" abusive
67 "RT @ayevonnn: bruh i fucking hate people like this 😤 https://t.co/dceEXQhnhq" hateful
69 "@theDoofmanDFS @theDoofmanDFS are u still rocking with that team btw nani is fucking sick i tried him" abusive
74 "RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP" abusive
75 "RT @mattmfm: I'm really fucking sick of watching the Republican Party be rewarded for flagrantly degrading our democracy." hateful
76 "Systems that don't allow you to change your email address... what the hell are you doing? Were you built by idiots?" abusive
77 "Holy crap!! The biggest assclown of a mayor on @TuckerCarlson pulling race card!! Get his ass outta office!!! #draintheswamp" abusive
78 "I repeat... What the bloody hell is happening! 🙈👀 https://t.co/nWQlRJRIV3" abusive
79 "im so fucking sick of seeing this damn tweet. https://t.co/MRMOy3mQXO" abusive
81 "RT @EiramAydni: Im a nasty ass freak when I like you.." abusive
83 "@JayFoee_ just another dumbass bronco fan swear I hate this fanbase dawg 😭" hateful
84 "RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP" abusive
88 "RT @genn_up: ""Opened 5 min ago"" is SO fuckin annoying. A dinny send messages for the ged of ma health a send them for a fuckin REPLY" abusive
89 "Dick Tracy Meets Gruesome - the 2017 re-boot
#Riffotronic https://t.co/IMkbJxjysV" normal
90 "fucks sake go away stupid anon — ^  https://t.co/8TQGyiKCVE" abusive
94 "RT @BluntOfLoud: Reason Why These Bitches Secretly Hate Me🤣🤣🤣🤣🤣 https://t.co/ixJD7B4ZDz" abusive
98 "what idiot called them antacids and not afterburners" abusive
100 "RT @AdrianR1979: I swear every person that voted for tru💩 is a FUCKING MORON!! #ImpeachTrump #NotMyPresident   #StillWithHer #TrumpRussiaCo…" abusive
105 "im sick too 😒 sick of these hoes 🤦🏾‍♀️ https://t.co/43W9Iwkioj" abusive
106 "@lawrenceantnhoy @OGSaxx Youre an idiot cause i dont care what youre talking about." abusive
107 "Yooooo vans got these sick ass velvet oxblood slip onnnnssssss 💦💦💦💦👅👅👅👅" abusive
111 "RT @RileyNixon_: bout to get butt fucked !!! https://t.co/5ho3r7keZh" abusive
114 "@roaringsoftly i will go to bat for you!!! what the hell is wrong with people!! also ily" abusive
116 "RT @THESLUMPGOD: I Sampled Jaws 

Pull Up With The Pistol Make A Nigga Look So Dam Sick Like He Seen A Bitch With 3 Titts https://t.co/64YC…" hateful
117 "@MrDibsGotScampi He said he ain't gonna be here for another 45 fucking minutes !!!" abusive
118 "You know what happens to people that trust a pathological liar? They get fucked over! Repeatedly! https://t.co/eSPcGAYeSx" abusive
119 "RT @Sixteen_digits: Police holds me. Anoda police ask ""officer weytin him do"" he replies D idiot pis for here. D oda says hold d idiot mak…" abusive
121 ",😂 LMFAOOOOOOOOOOOOOOOO pathetic ass bitches https://t.co/9GM8SRY4vl" abusive
128 "RT @Stafaa__: I hate them hoe ass braids 😂🙌🏾 https://t.co/fr5gMyp4rJ" abusive
129 "@audzwack There's a tumblr post about how fucking bad the production was on the show and it made me cry laughing I have to find it" abusive
134 "RT @arianam0lina: if you litter you're a bitch &amp; i hate you" hateful
136 "💀 yk them hoes ugly sis. 🤦🏽‍♀️ https://t.co/OA9aQ6LN7G" abusive
138 "RT @cybeque: Don't take out the anger of being a hairless nigga on us. .. https://t.co/7UeObG5182" hateful
142 "We miss yo ugly sid the the Sloth , dur yes dur saying ass too https://t.co/v6sTVEhH2n" abusive
150 "Up at 2am, still sick, dr. Pissing me off, ugh it's almost spring break, I just wanna be well!😢whine,sniffle,cough,cry!😠" normal
152 "sis....i'm fuckin sick. i'm done with it, it's 11 now https://t.co/Ed4Bowmlro" abusive
154 "RT @JDfromNY206: I DONT KNOW WHAT TO SAY!!!! I HAVE FUCKING GOOSEBUMPS!!!! #SDLive #SDLiveAfterMania" abusive
156 "Something is deeply wrong with him! That and the LYING! Scare the hell out of me.. https://t.co/Q7ucdx4eEH" normal
158 "Fuck You And Die: An Oral History of Something Awful" abusive
160 "RT @fawfulfan: Go fuck yourself, @SenJohnMcCain. You can't whine about the dreadful consequences of something AS YOU VOTE FOR IT. #NuclearO…" abusive
162 "Hate watching an interview &amp; I hear ""like"" a fucking million times" abusive
166 "RT @Duhhitsswinkelz: I walk around my school untouchable &amp; all the bitches that don't like me just sit around and hate 😆💁🏽" abusive
170 "Court and Duncan are fucking miserable tonight #MKR" abusive
176 "Yang susah itu yang disini (dada;hati), that ugly feeling can stay for who knows how damn long.-Melbourne" normal
177 "RT @OlgaLycett: One thing I hate about spring/summer is the bloody birds waking me up at 6am. It's like world war 3 out there🙃" abusive
178 "MY FUCKING GOD @shanemcmahon DON'T DIE!! Backflips like a cruiserweight in his prime at 47!! 😳😳 #Wrestlemania" abusive
179 "I'm moving to Texas. It's some bad bitches out there." abusive
182 "Why Praise Can Be Bad for Kids - ABC News - https://t.co/XT7l0E10ra via @ABC" normal
183 "RT @AlphaOmegaSin: Someone told me they didn't like owls...how fucking dare your face ever make sounds into words that are so terrible
You…" abusive
185 "RT @chilledpan: THAT'S WHAT U FUCKING GET FOR PUSHING THAT DOG!!!!!!!!! https://t.co/4qxS1zEnrm" abusive
186 "Theres a difference between marketing and being fucking annoying" abusive
191 "RT @peace_moin: &amp; some idiots of my country think and this regime is working to bring UNIFORM CIVIL CODE.
Let them bring UNIFORM BEEF CONSU…" abusive
192 "He would not have won if the DNC knew what the hell they were doing. It's too bad if saying that hurts feelings, but Trump's gotta go" hateful
197 "RT @GunnerStaal: ""You see we should have traded Letang, he's always hurt""

            - Idiots" hateful
199 "RT @JustCallHerKii: WTF !!! #LHHATL  just got juicy OMG she fuckin with her boss husband 😶😶😶" abusive
202 "I hate when people get up here and tell what happening on a TV show or Movie... Shut yo ass up 😂" hateful
205 "@DibsOnTheGibbs At least outline the plot and shiz for when you have time!!! Your audience needs you!" normal
207 "@claireginther but let's talk about that sick ass table" abusive
208 "RT @syeoga: Hella is from the bay....and majority of LA bitches hate on the word hella 😂😩 https://t.co/9vmoO3Lnb7" abusive
210 "#ANCYL there this idiot of cosas speaking, i think hate speech will come out of his speech if he doesnt stop." abusive
211 "I'm baffled and disgusted, who raised these bitches mann 😖😩" abusive
212 "RT @Boobie24Dixon: Hail Fucking State!!! https://t.co/Lkm1jQd2uF" abusive
214 "RT @_laporcia: Bitches be like my "" NIGGA "" crazy nah HE crazy with you HE pussy to us !!" abusive
215 "RT @CaseyBerry99: Bullying people is so lame &amp; terrible. It's 2017 have you people not noticed that it's a fucked up thing to do???????????…" abusive
217 "Its not tht i hate the place even tho i dont like it but i hate the ppl who havent done anything to the bullshit tht happened." abusive
218 "RT @DickMorrisTweet: Schumer Filibuster Of Gorsuch Is Idiotic - Lunch Alert! https://t.co/kvnzCSK5tX @SenSchumer @TheDemocrats @HouseDemocr…" abusive
220 "Nasty ass eating food @_JWEAVE_ @Mcj_da_great https://t.co/EqsAzUrRbh" abusive
222 "These fucking butn scars on my chest is so ugly! I can't even wear a shirt without having it zipped all the way up or a scarf on." abusive
225 "RT @Shae_Amoure: Mf's be having me fucked up ALLL the time !🤦🏽‍♀️" abusive
226 "RT @siarah_: that's an ugly ass house to be paying $5mil for https://t.co/dHZXE0dl1i" abusive
227 "RT @sobermongeau: you know when youre fucking stupid and get one question in math correct and think ur albert fucking einstein because me t…" abusive
229 "RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP" abusive
230 "RT @OnlyLookAtMino: [!!] WINNER trending on Melon Search at #1 😍

#위너_4일4시_음원공개 https://t.co/jNwkUlTrPC" normal
232 "RT @OnlyLookAtMino: [!!] WINNER trending on Melon Search at #1 😍

#위너_4일4시_음원공개 https://t.co/jNwkUlTrPC" normal
235 "Watching this annoying ass man makes me want to never eat another pizza...... #my600lblife tlc" abusive
238 "@BasedBananaSama Just block him. . .

He's fucking dreadful." abusive
239 "RT @JJTheNoonas: [INFO] 170403 Jinyoung spotted at Han river with gagman Lee SeungYoon!
cr.nct_mark0621&amp;코코 체리
https://t.co/v0EQBMGAJY
https…" normal
241 "It's always the filthy bitch that comes in the picture.. 🤦🏽‍♂️" abusive
244 "I worry about this all of the time.   If the Nazis turn away from him it might not be as bad as I fear it will be.… https://t.co/BTmeimEEMQ" normal
247 "Niggas worst than your side bitch always questioning they position" hateful
250 "RT @TPThompson2: Who will be the 1st #gop rep to find some guts and stand up to the idiot in the WH? #FireTheFool 
https://t.co/VQz1YvHxHO" abusive
254 "too bad i ain't packing like that banana 😞💔 https://t.co/gyWnhy62o7" normal
255 "@CraigHazell You are a fucking legend mate. Balls of steel!" abusive
267 "when guys talk to me I just wanna go sleep, boring ass conversation" abusive
270 "RT @SQUlDZ: Look at this fuckin retard https://t.co/nZePcMiZn0" abusive
272 "@ProWLegacy @TennesseeHoney_ can you count its 1-3 idiot💯" abusive
276 "@Louis91Tom_ Omg I can't believe someone would wish that on anyone never mind a baby the sick bitch" abusive
280 "RT @cleveionn: my head so nasty i thought that was a vagina 😂 https://t.co/ZNq9FVVFWU" abusive
286 "RT @ChrisKlemens: I am trying to avoid using the word hate but I fucking hate Donald Trump." abusive
292 "@JesonthePage ugh, crippling self doubt is THE WORST." normal
293 "Quit fucking spamming me with this crap it don't work https://t.co/AjQxhEKk2t" abusive
302 "RT @charli_xcx: the number 1 angel shows are gonna be fucking wiiiiild!! @brookecandy opening in SF &amp; NY with @CupcakKe_rapper joining in N…" abusive
304 "@sanacardi @letat_lechat Sanders said ""I'm sick of talking about your damned emails""" abusive
308 "@jimmcelwainshat @_SuperAngiee R u dump or u r too stupid idiot" abusive
311 "If someone heard mine and Macie's convo in Applebees they'd think we were idiots 😂😂😂" normal
313 "RT @SarahPlayfair: Pip is an idiot - and needs to tell the truth...... and why didn't she realise before? #thearchers" abusive
315 "Rick James fucking hated Prince (who I have pledged all of my allegiance to) but it doesn't keep me from appreciating James' eccentricities." abusive
317 "RT @okamlord: I fucking hate you https://t.co/DEzJoO66A2" abusive
318 "RT @fromvallejo: son this nigga is the worst https://t.co/IYTehCEPea" abusive
319 "RT @SlumLordPo: It's the FUCKING #REDEMPTIONTOUR !!!! GO FUCKING HEELS https://t.co/Wwm92Cmwtj" abusive
320 "@HeyMisfit She does &amp; tori is an idiot for taking it all the time" hateful
329 "RT @EiramAydni: Im a nasty ass freak when I like you.." abusive
332 "@MozzyThaMotive gotta make the @XXL freshman this year or everyone retarded" abusive
333 "I just want Gordon Ramsay to call me an idiot sandwich" abusive
337 "Fuck u @reliancejio ur 4g network from today is worst than @VodafoneIN @airtelindia @idea 's 2g network😌😌😌" abusive
339 "I recorded a video and I look  stupid as hell lmaoo" abusive
340 "Might pull up wit yo bitch just to make these niggas sick" hateful
341 "RT @hagusP: @gabriella_t15 I FUCKING KNOW!!!!!!! I was like.... WTF??????? https://t.co/CBLkGsNeOZ" abusive
342 "@FoxNews @KellyannePolls @POTUS She has a way with words... for an idiot" abusive
343 "RT @StevenDakai: Are you stupid it's bc Russ has done it 40 Fuckin times https://t.co/mUyAqI1BSu" abusive
344 "RT @SkiiBandz: DEMARCO MURRAY SICK AF 😂 FUCKIN TRADER" abusive
345 "WHY IS MY FUCKING WINDSCREEN FUCKING FROZEN?! IT'S FUCKING APRIL YOU CUNT!!" abusive
346 "RT @Seems3r: What the hell is wrong with these JNU types ??
They know how to distract when it's time to focus on studies !! https://t.co/TA…" abusive
347 "RT @PatrickLenton: @PatrickLenton while bandits and dragons still attack my dog while i'm bloody mining ore and building a goddamn solarium…" abusive
348 "I'm watching GM interviews and FUCK WHY IS HE GONE , WHY?!?!?!?!?!?! https://t.co/7z9uCDDqQ2" abusive
353 "@Record_Sport This will bite him on the arse stupid thing to do." abusive
356 "Ugly bad built ass bitch I would've slapped tf out her. https://t.co/IZhStsmT1A" abusive
360 "Would this brainless retard that claims to be my father just hurry up and die¿¿¿?¿???¿??¿?¿?" abusive
