text class_label
"Drasko they didnt cook half a bird you idiot mkr" racism
"Hopefully someone cooks Drasko in the next ep of MKR" racism
"of course you were born in serbiayoure as fucked as A Serbian Film MKR" racism
"These girls are the equivalent of the irritating Asian girls a couple years ago Well done MKR" racism
" At least youre only a tiny bit racist Im not racist but my dick is" racism
" SANTA JUST IS WHITE" racism
" Eric Holder from ferguson I understand that mistrust I am the Attorney General but I am also a Black Man httpt" racism
" I spent the morning at the Board of Elections getting mapsdata to start registering every black person in Ferguson ht" racism
" In his Ferguson testimony Darren Wilson said he thought it looks like a demon before he shot Mike Brown Ironic word" racism
"He cant be a server at our restaurant that beard makes him look like a terrorist Everyone laughs fuckthanksgiving" racism
" Why do people even talk about white privilege when the majority of food stamp recipients are white people" racism
"These two are revolting MKR MKR2015" sexism
"katieandnikki stop calling yourselves pretty and hotyoure not and saying it a million times doesnt make you eitherSTFU MKR" sexism
"The menus look like they were made by a year old little girlin this case just the mental age of a year old girl I guess MKR" sexism
"Wish these blondes were in that How To Get Away With Murder showMKR" sexism
"Were butchers but cant tell red poultry is not cooked salmonellaqueens MKR" 
"Not dumb blondesmmmperhaps just delusions of adequacy MKR" 
"Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off mkr" sexism
" The Sassy Foods feeling httptcoTtqS1N27OL MKR2015 MKR these girls are vile people KillerBlondes basichotdog nobun" sexism
"mkr Omg there restaurant looks like a a little girls room oh my Gosh" sexism
"I think theyre deconstraucted Pro mowhores MKR" sexism
"My deconstructed tart joke from the last season of MKR httptco10LPgtdopB" 
"Ash found her inner bogun whistle fingersinthemouth Ewwww MKR" 
"NikkiKermit the frog called and he wants his voice back MKR MKR2015 KillerBlondes " sexism
"Theres more moisture in those spatchcocks than the killerblondes MKR" sexism
"The face of very ugly promo girls Faces like cats arsehole mkr excited to see them down tonightliterally httptcoHgoJrfoIeO" sexism
" Elegant and beautifulCheap and trashyNothing more unattractive than girls banging on about how hot hey are mkr notsassy" 
"Sorry killerblondes but you are a long LONG way from refined mkr" sexism
"Drasko only likes his mums hot pot especially when shes drunk and unconscious MKR" sexism
"its melting because you didnt put it in the freezer before you served it you dumb skank MKR" 
"mkr deconstructed by girls that have deconstructed brains Nearly brought up my dinner when I saw that crap on the plate" sexism
"In the words of former contestant Katie and Nikki need to calm their farm MKR" sexism
"I cannot stop looking at Nikkis dreadful black crooked bra MKR MKR2015" sexism
"I dislike Kat more than the blondes who are going to tell us theyre hot another times MKR notaustraliasnexttopmodel" sexism
"Ive had better looking shits than these two MKR2015 MKR killerblondes" sexism
" Girls please dont let the leftovers go to waist My dog would really appreciate it MKR" sexism
"shit she knows how to walkyou go girlone foot in front of the otherMKR" sexism
"R u fucking kidding catwalk all thats missing is a pole mkr" sexism
"Actually Nikki really is quite good looking wait till my shots hit the newstand mkr photography fashion" sexism
"Stick to your day jobs girls MKR" sexism
"Obviously natural blondes mkr" 
"jus gonna say itagainDUMB BITCH MKR" sexism
"Omg All those girl teams and couples Hahaha poor Kats husband and Lloyd MKR" sexism
"WTFmkr the girls used bought sorbet amd that was the standout Shouldnt they be disqualified " sexism
"Its Katie and Nikki to a T In that its trashy and cheap MKR" sexism
"I will not be using killer blondes as a hash tag MKR" sexism
"Shut up Katie and Nikki That is all MKR MKR2015 mykitchenrules" 
"Anyone else notice that all of Katie and Nikkis dishes were based on them being sluts Sausage cock and tarts MKR MKR2015" 
"Just read the killerblondes get through Switching off MKR" sexism
"MKR everyone under estimated us umm bitch you came second last like literally just survived you didnt win My god GoAlready YouSuck" sexism
"Who is writing the bimbolines mkr" sexism
"Katie and Nikki NSW My Kitchen Rules When Will people learn They are not that hot Pride always comes before a fall" sexism
" My god You cant use a can opener Reminds me of a joke I know How do you know a blonde MKR" sexism
"Kim Kardashian has had marriages that didnt stretch as long as MKR" sexism
"Sassy More like femme bots than killer blondes mkr" sexism
"How the fk are they models MKR" 
" MKR The girls are bringing some Sassyges to the table" sexism
"Just me or hot blondes on mkr not at all hot Just average" 
"They werent kidding when they said deconstructed mkr Yeh Seen better shit in womens magazi Oh RightSorry MKR" sexism
"Katie and Nikki have definitely proved theyre not just dumb blondes with pretty faces Theyre just dumb blondes mkr" 
"Who was responsible for convincing these girls they were so pretty MKR" sexism
"mkr OH MY GAWD WE ARE LIKE SO HOT I CANT EVEN httptcoyisKQvhmkH" sexism
" did you find Katie and Nikki in the line for Mt Druitts next top model MKR" sexism
"Ugh these KillerBlondes are killer boring and whats with spreading their dna all over the table Unhygienic and gross MKR2015 MKR" sexism
" not to mention these same girls on MKR have super inflated egos considering they didnt cook that well and arent very nice" sexism
"Yes we get it Youre pretty Tone down the self promo and just cook MKR" sexism
"If I hear hot pretty sassy like us one more time I will deconstruct MKR killerblondes" sexism
"MKR maybe you girls should go back to cutting up cows and pigs dont quit your day job " 
"nothing worse than a raw cockoh waitMKR" 
"Guess one of em isnt too bad mkr" sexism
"That was annoying If she calls her own self pretty one more time Im gonna vom MKR" sexism
"The girls are going through this is fucked or are they sucking Colins cock MKR" sexism
"These delusional narcissistic hostesses on MKR make me want to vomit my own dinner up" sexism
"the theme for their instant restaurant appears to be barbies dream narcissism kitchen MKR" sexism
"The girls can cook for me anytime Just not hot pot or spatchcock MKR" sexism
"These girls are prettyawful gohome MKR" sexism
" if the vapid duo of conceit get through tonight Im not watching again suicideblondes mkr" sexism
"They starting to act and look like a couple of B grade hookers to me MKR" sexism
"Maybe the girls should have less tickets on themselves and worry about the cooking MKR" sexism
" Out of the two blondes which one is Beavis and which is Butthead MKR Does it matter" 
"those blond girls make me crazy they are so annoying mkr" sexism
"Catching up with MKR If society judges these two as pretty then I really have no friggin hope" 
"If you talk the talk you gotta walk the walk Do the girls know the recipe for humble pie MKR" sexism
" I think the pink has gone to the girls head imbeautiful MKR" sexism
"Think these two girls have wayyy to many tickets kn themselves MKR PromoGirls promogirls i think not" sexism
"If only this Sasquatch had wings to help these girls fly out of the whole theyve dug for themselves mkr " sexism
"Classy and elegant is one way of putting it mkr" sexism
"Oh yeah Colin Smash those girls D MKR" 
"Kel the butcher has never heard of these silly sausages on mkr httptcoCHGKB1rirW" 
