 572342978255048705 racism
0 572341498827522049 racism
1 572340476503724032 racism
2 572334712804384768 racism
3 572332655397629952 racism
4 575949086055997440 racism
5 551659627872415744 racism
6 551763146877452288 racism
7 551768543277355009 racism
8 551769061055811584 racism
9 551769698917167104 racism
10 551779988567891969 racism
11 551783732466577408 racism
12 551787027725705216 racism
13 551787273256050688 racism
14 551787717168619521 racism
15 551796768623435776 racism
16 551797843472556032 racism
17 551798472827883520 racism
18 551799120080293888 racism
19 551804052606967810 racism
20 551807282153934848 racism
21 551812016768172032 racism
22 551935344644349952 racism
23 551935446427504640 racism
24 551984700764332032 racism
25 552131027590586368 racism
26 552132765592727553 racism
27 552133306553073665 racism
28 552178267927883776 racism
29 552242912487305218 racism
30 552243885196734464 racism
31 552245992721252352 racism
32 552246388025982976 racism
33 552247283438587905 racism
34 552247950039326720 racism
35 552248563330482176 racism
36 552252662381432832 racism
37 552253146970337280 racism
38 552253495328247809 racism
39 552253987701788672 racism
40 552254351754817536 racism
41 552254776218365953 racism
42 552255235863756800 racism
43 552255665301749760 racism
44 552256116952805376 racism
45 552256504485527554 racism
46 552256837819449344 racism
47 552257230037213184 racism
48 552257644853862400 racism
49 552257867932106752 racism
50 552258072148582400 racism
51 552258490316492800 racism
52 552258840889028608 racism
53 552259230208499712 racism
54 552259592634114048 racism
55 552260022130864128 racism
56 552260502777102336 racism
57 552261139837370368 racism
58 552261703241453569 racism
59 552262508711399425 racism
60 552266284344553472 racism
61 552302969283436545 racism
62 552304521637285889 racism
63 552308801228259328 racism
64 552309137896640515 racism
65 552310296652828673 racism
66 552311142539079680 racism
67 552311743998070785 racism
68 552313304358846464 racism
69 552313552154157057 racism
70 552331392622010368 racism
71 552332311858262016 racism
72 552336365854412801 racism
73 552346465520349184 racism
74 552348770751770624 racism
75 552351551688564736 racism
76 552352216376692736 racism
77 552352897149976576 racism
78 552487055553757187 racism
79 552524577163988992 racism
80 552525214996004866 racism
81 552526460876242946 racism
82 552526654699237379 racism
83 552527064159768576 racism
84 552527629195427840 racism
85 552528092691181572 racism
86 552530221073969156 racism
87 552530506756423680 racism
88 552530948496318468 racism
89 552531880466456576 racism
90 552532181038686208 racism
91 552532522782171136 racism
92 552532883630723072 racism
93 552533207426797568 racism
94 552533544564953094 racism
95 552533736789913600 racism
96 552534024334614528 racism
97 552534253976969216 racism
98 552535646196494338 racism
99 552535998723547137 racism
100 552553410218557440 racism
101 552554260957634560 racism
102 552554758809321473 racism
103 552555113366446080 racism
104 552557234681430016 racism
105 552557686592516096 racism
106 552558144845406208 racism
107 552558562564534273 racism
108 552558873458913280 racism
109 552559358643417088 racism
110 552559570917134336 racism
111 552567397941796864 racism
112 552567745301454848 racism
113 552567939669716993 racism
114 552568185355239426 racism
115 552568707244118017 racism
116 552568932436295682 racism
117 552569179791187968 racism
118 552569711079485441 racism
119 552578641826029568 racism
120 552579242706235392 racism
121 552599309535834112 racism
122 552602629730078721 racism
123 552602854469275648 racism
124 552603067472814080 racism
125 552603232053100544 racism
126 552603982170820609 racism
127 552604209787318272 racism
128 552604397218193408 racism
129 552605492120272897 racism
130 552605945138642944 racism
131 552606096037126144 racism
132 552607578543243264 racism
133 552607836874604545 racism
134 552621472418889728 racism
135 552691455270338560 racism
136 552691920737419264 racism
137 552692226477019136 racism
138 552692520757772288 racism
139 552702190243315712 racism
140 552703090038947840 racism
141 552704371981824001 racism
142 552704511098503168 racism
143 552709319763173378 racism
144 552709655097769984 racism
145 552710730945159169 racism
146 552711776018915330 racism
147 552711982911324160 racism
148 552712056403918848 racism
149 552713711048486912 racism
150 552714793791270913 racism
151 552832003603984384 racism
152 552833335119335424 racism
153 552834919831830528 racism
154 552852341120970752 racism
155 552852730327203841 racism
156 552853286500306944 racism
157 552854101755559936 racism
158 552855374492360705 racism
159 552856083644305409 racism
160 552856915353825283 racism
161 552857451671060480 racism
162 552862070061142016 racism
163 552864417050681344 racism
164 552871996082487297 racism
165 552872508995555330 racism
166 552872849342349312 racism
167 552884719394648064 racism
168 552886368842436609 racism
169 552887101499256832 racism
170 552887374858825729 racism
171 552888346767159297 racism
172 552889003989413888 racism
173 552923665952546816 racism
174 552926572752011265 racism
175 552926619426238464 racism
176 552935798459207680 racism
177 552944864581529601 racism
178 552945098904727552 racism
179 553005445980225536 racism
180 553005887988588544 racism
181 553006564466888704 racism
182 553006745778257921 racism
183 553008281812078592 racism
184 553008477916782592 racism
185 553009209084620800 racism
186 553010256662392832 racism
187 553011006297739264 racism
188 553011393109041152 racism
189 553011893489512448 racism
190 553015187565854720 racism
191 553015844842655747 racism
192 553017226639704064 racism
193 553018384120422400 racism
194 553019590104453120 racism
195 553022484467834880 racism
196 553023136459804672 racism
197 553024516150927360 racism
198 553027700579762176 racism
199 553027973805117440 racism
200 553028633237794816 racism
201 553057212835180544 racism
202 553062441412603904 racism
203 553072776349626369 racism
204 553076211878871040 racism
205 553078288281636866 racism
206 553079857630834688 racism
207 553080280278249472 racism
208 553081714931552256 racism
209 553206566266994688 racism
210 553208451115909120 racism
211 553208711271837696 racism
212 553209501168316417 racism
213 553228588191715330 racism
214 553267240251195393 racism
215 553358452790022145 racism
216 553358818139070464 racism
217 553359777930027009 racism
218 553360960438562816 racism
219 553399931939991552 racism
220 553400662461931521 racism
221 553401609678360576 racism
222 553402087745150977 racism
223 553402310106157056 racism
